"exp_index","subject","block","accuracy","probability_10","observer","outcome","evaluation"
"exp1",1,"actor",0,50,NA,NA,NA
"exp1",1,"actor",0.1,53,NA,NA,NA
"exp1",1,"actor",0.2,53,NA,NA,NA
"exp1",1,"actor",0.3,32,NA,NA,NA
"exp1",1,"actor",0.4,0,NA,NA,NA
"exp1",1,"actor",0.5,0,NA,NA,NA
"exp1",1,"actor",0.6,31,NA,NA,NA
"exp1",1,"actor",0.7,29,NA,NA,NA
"exp1",1,"actor",0.8,50,NA,NA,NA
"exp1",1,"actor",0.9,0,NA,NA,NA
"exp1",1,"actor",1,0,NA,NA,NA
"exp1",2,"actor",0,50,NA,NA,NA
"exp1",2,"actor",0.1,50,NA,NA,NA
"exp1",2,"actor",0.2,50,NA,NA,NA
"exp1",2,"actor",0.3,50,NA,NA,NA
"exp1",2,"actor",0.4,0,NA,NA,NA
"exp1",2,"actor",0.5,0,NA,NA,NA
"exp1",2,"actor",0.6,0,NA,NA,NA
"exp1",2,"actor",0.7,0,NA,NA,NA
"exp1",2,"actor",0.8,50,NA,NA,NA
"exp1",2,"actor",0.9,50,NA,NA,NA
"exp1",2,"actor",1,0,NA,NA,NA
"exp1",3,"actor",0,50,NA,NA,NA
"exp1",3,"actor",0.1,0,NA,NA,NA
"exp1",3,"actor",0.2,100,NA,NA,NA
"exp1",3,"actor",0.3,50,NA,NA,NA
"exp1",3,"actor",0.4,0,NA,NA,NA
"exp1",3,"actor",0.5,0,NA,NA,NA
"exp1",3,"actor",0.6,0,NA,NA,NA
"exp1",3,"actor",0.7,0,NA,NA,NA
"exp1",3,"actor",0.8,100,NA,NA,NA
"exp1",3,"actor",0.9,100,NA,NA,NA
"exp1",3,"actor",1,100,NA,NA,NA
"exp1",4,"actor",0,43,NA,NA,NA
"exp1",4,"actor",0.1,14,NA,NA,NA
"exp1",4,"actor",0.2,28,NA,NA,NA
"exp1",4,"actor",0.3,24,NA,NA,NA
"exp1",4,"actor",0.4,24,NA,NA,NA
"exp1",4,"actor",0.5,6,NA,NA,NA
"exp1",4,"actor",0.6,16,NA,NA,NA
"exp1",4,"actor",0.7,18,NA,NA,NA
"exp1",4,"actor",0.8,12,NA,NA,NA
"exp1",4,"actor",0.9,23,NA,NA,NA
"exp1",4,"actor",1,26,NA,NA,NA
"exp1",5,"actor",0,100,NA,NA,NA
"exp1",5,"actor",0.1,100,NA,NA,NA
"exp1",5,"actor",0.2,100,NA,NA,NA
"exp1",5,"actor",0.3,100,NA,NA,NA
"exp1",5,"actor",0.4,0,NA,NA,NA
"exp1",5,"actor",0.5,21,NA,NA,NA
"exp1",5,"actor",0.6,10,NA,NA,NA
"exp1",5,"actor",0.7,18,NA,NA,NA
"exp1",5,"actor",0.8,71,NA,NA,NA
"exp1",5,"actor",0.9,82,NA,NA,NA
"exp1",5,"actor",1,94,NA,NA,NA
"exp1",6,"actor",0,38,NA,NA,NA
"exp1",6,"actor",0.1,34,NA,NA,NA
"exp1",6,"actor",0.2,4,NA,NA,NA
"exp1",6,"actor",0.3,10,NA,NA,NA
"exp1",6,"actor",0.4,0,NA,NA,NA
"exp1",6,"actor",0.5,0,NA,NA,NA
"exp1",6,"actor",0.6,0,NA,NA,NA
"exp1",6,"actor",0.7,13,NA,NA,NA
"exp1",6,"actor",0.8,72,NA,NA,NA
"exp1",6,"actor",0.9,60,NA,NA,NA
"exp1",6,"actor",1,73,NA,NA,NA
"exp1",7,"actor",0,50,NA,NA,NA
"exp1",7,"actor",0.1,51,NA,NA,NA
"exp1",7,"actor",0.2,39,NA,NA,NA
"exp1",7,"actor",0.3,34,NA,NA,NA
"exp1",7,"actor",0.4,0,NA,NA,NA
"exp1",7,"actor",0.5,0,NA,NA,NA
"exp1",7,"actor",0.6,12,NA,NA,NA
"exp1",7,"actor",0.7,1,NA,NA,NA
"exp1",7,"actor",0.8,77,NA,NA,NA
"exp1",7,"actor",0.9,70,NA,NA,NA
"exp1",7,"actor",1,0,NA,NA,NA
"exp1",8,"actor",0,100,NA,NA,NA
"exp1",8,"actor",0.1,100,NA,NA,NA
"exp1",8,"actor",0.2,100,NA,NA,NA
"exp1",8,"actor",0.3,100,NA,NA,NA
"exp1",8,"actor",0.4,0,NA,NA,NA
"exp1",8,"actor",0.5,0,NA,NA,NA
